Risk Tolerance Score,Risk Capacity Score,Portfolio
0.72,0.73,"{'Stocks': [('COST', 0.1), ('LLY', 0.2), ('META', 0.02), ('MRK', 0.2), ('NVDA', 0.2)], 'Bonds': [('^TNX', 0.08), ('^TYX', 0.17)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
0.74,0.67,"{'Stocks': [('COST', 0.11), ('JPM', 0.01), ('LLY', 0.19), ('META', 0.02), ('MRK', 0.2), ('NVDA', 0.19)], 'Bonds': [('^TNX', 0.07), ('^TYX', 0.18)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
0.7,0.55,"{'Stocks': [('COST', 0.12), ('JPM', 0.04), ('LLY', 0.2), ('META', 0.02), ('MRK', 0.2), ('NVDA', 0.14)], 'Bonds': [('^TNX', 0.05), ('^TYX', 0.2)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
0.72,0.56,"{'Stocks': [('COST', 0.12), ('JPM', 0.03), ('LLY', 0.2), ('META', 0.02), ('MRK', 0.2), ('NVDA', 0.15)], 'Bonds': [('^TNX', 0.05), ('^TYX', 0.2)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
0.7,0.46,"{'Stocks': [('COST', 0.12), ('JPM', 0.04), ('LLY', 0.2), ('META', 0.01), ('MRK', 0.19), ('NVDA', 0.12), ('PG', 0.04)], 'Bonds': [('^TNX', 0.05), ('^TYX', 0.2)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
0.72,0.47,"{'Stocks': [('COST', 0.12), ('JPM', 0.04), ('LLY', 0.21000000000000002), ('META', 0.01), ('MRK', 0.19), ('NVDA', 0.13), ('PG', 0.02)], 'Bonds': [('^TNX', 0.05), ('^TYX', 0.2)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
0.64,0.71,"{'Stocks': [('COST', 0.11), ('JPM', 0.02), ('LLY', 0.2), ('META', 0.02), ('MRK', 0.2), ('NVDA', 0.17)], 'Bonds': [('^TNX', 0.06), ('^TYX', 0.19)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
0.66,0.7,"{'Stocks': [('COST', 0.11), ('JPM', 0.01), ('LLY', 0.21000000000000002), ('META', 0.02), ('MRK', 0.2), ('NVDA', 0.17)], 'Bonds': [('^TNX', 0.06), ('^TYX', 0.19)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
0.62,0.54,"{'Stocks': [('COST', 0.12), ('JPM', 0.04), ('LLY', 0.2), ('META', 0.01), ('MRK', 0.19), ('NVDA', 0.12), ('PG', 0.04)], 'Bonds': [('^TNX', 0.05), ('^TYX', 0.2)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
0.64,0.55,"{'Stocks': [('COST', 0.12), ('JPM', 0.04), ('LLY', 0.21000000000000002), ('META', 0.01), ('MRK', 0.19), ('NVDA', 0.13), ('PG', 0.02)], 'Bonds': [('^TNX', 0.05), ('^TYX', 0.2)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
0.64,0.45,"{'Stocks': [('COST', 0.12), ('JPM', 0.05), ('LLY', 0.19), ('META', 0.01), ('MRK', 0.17), ('NVDA', 0.1), ('PG', 0.07)], 'Bonds': [('^TNX', 0.05), ('^TYX', 0.2)], 'REITs': [('WELL', 0.02), ('O', 0.01), ('CCI', 0.01)]}"
0.66,0.46,"{'Stocks': [('COST', 0.12), ('JPM', 0.05), ('LLY', 0.2), ('META', 0.01), ('MRK', 0.18), ('NVDA', 0.11), ('PG', 0.05)], 'Bonds': [('^TNX', 0.05), ('^TYX', 0.2)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
0.55,0.72,"{'Stocks': [('COST', 0.12), ('JPM', 0.03), ('LLY', 0.2), ('META', 0.02), ('MRK', 0.2), ('NVDA', 0.15)], 'Bonds': [('^TNX', 0.05), ('^TYX', 0.2)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
0.57,0.71,"{'Stocks': [('COST', 0.12), ('JPM', 0.03), ('LLY', 0.2), ('META', 0.02), ('MRK', 0.2), ('NVDA', 0.15)], 'Bonds': [('^TNX', 0.05), ('^TYX', 0.2)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
0.51,0.51,"{'Stocks': [('COST', 0.11), ('JPM', 0.05), ('LLY', 0.18), ('META', 0.01), ('MRK', 0.17), ('NVDA', 0.09), ('PG', 0.09), ('XOM', 0.01)], 'Bonds': [('^TNX', 0.04), ('^TYX', 0.2)], 'REITs': [('WELL', 0.03), ('O', 0.01), ('CCI', 0.01)]}"
0.53,0.52,"{'Stocks': [('COST', 0.11), ('JPM', 0.05), ('LLY', 0.19), ('META', 0.01), ('MRK', 0.17), ('NVDA', 0.1), ('PG', 0.08)], 'Bonds': [('^TNX', 0.05), ('^TYX', 0.1999999999999998)], 'REITs': [('WELL', 0.02), ('O', 0.01), ('CCI', 0.01)]}"
0.49,0.44,"{'Stocks': [('ABBV', 0.01), ('COST', 0.11), ('JPM', 0.04), ('LLY', 0.15), ('META', 0.01), ('MRK', 0.17), ('NVDA', 0.07), ('PG', 0.13), ('XOM', 0.02)], 'Bonds': [('^TNX', 0.04), ('^TYX', 0.2)], 'REITs': [('WELL', 0.03), ('O', 0.01), ('CCI', 0.01)]}"
0.51,0.45,"{'Stocks': [('COST', 0.11), ('JPM', 0.05), ('LLY', 0.16), ('META', 0.01), ('MRK', 0.17), ('NVDA', 0.08), ('PG', 0.12), ('XOM', 0.01)], 'Bonds': [('^TNX', 0.04), ('^TYX', 0.1999999999999998)], 'REITs': [('WELL', 0.03), ('O', 0.01), ('CCI', 0.01)]}"
0.43,0.66,"{'Stocks': [('COST', 0.12), ('JPM', 0.05), ('LLY', 0.19), ('META', 0.01), ('MRK', 0.17), ('NVDA', 0.1), ('PG', 0.07)], 'Bonds': [('^TNX', 0.05), ('^TYX', 0.2)], 'REITs': [('WELL', 0.02), ('O', 0.01), ('CCI', 0.01)]}"
0.45,0.67,"{'Stocks': [('COST', 0.12), ('JPM', 0.05), ('LLY', 0.2), ('META', 0.01), ('MRK', 0.18), ('NVDA', 0.11), ('PG', 0.05)], 'Bonds': [('^TNX', 0.05), ('^TYX', 0.2)], 'REITs': [('WELL', 0.01), ('O', 0.01), ('CCI', 0.01)]}"
0.4,0.5,"{'Stocks': [('ABBV', 0.01), ('COST', 0.1), ('JPM', 0.04), ('LLY', 0.14), ('META', 0.01), ('MRK', 0.17), ('NVDA', 0.07), ('PG', 0.13), ('XOM', 0.02)], 'Bonds': [('^TNX', 0.04), ('^TYX', 0.2)], 'REITs': [('WELL', 0.03), ('O', 0.03), ('CCI', 0.01)]}"
0.43,0.51,"{'Stocks': [('ABBV', 0.01), ('COST', 0.11), ('JPM', 0.04), ('LLY', 0.15), ('META', 0.01), ('MRK', 0.17), ('NVDA', 0.07), ('PG', 0.13), ('XOM', 0.02)], 'Bonds': [('^TNX', 0.04), ('^TYX', 0.2)], 'REITs': [('WELL', 0.03), ('O', 0.01), ('CCI', 0.01)]}"
0.4,0.41,"{'Stocks': [('ABBV', 0.02), ('COST', 0.09), ('JNJ', 0.02), ('JPM', 0.03), ('LLY', 0.11), ('META', 0.01), ('MRK', 0.15), ('NVDA', 0.05), ('PG', 0.15), ('XOM', 0.02)], 'Bonds': [('^TNX', 0.04), ('^TYX', 0.21000000000000002)], 'REITs': [('WELL', 0.02), ('O', 0.07), ('CCI', 0.01)]}"
0.43,0.42,"{'Stocks': [('ABBV', 0.02), ('COST', 0.1), ('JPM', 0.04), ('LLY', 0.13), ('META', 0.01), ('MRK', 0.16), ('NVDA', 0.06), ('PG', 0.15), ('XOM', 0.02)], 'Bonds': [('^TNX', 0.04), ('^TYX', 0.18)], 'REITs': [('WELL', 0.03), ('O', 0.05), ('CCI', 0.01)]}"
0.32,0.69,"{'Stocks': [('COST', 0.11), ('JPM', 0.05), ('LLY', 0.18), ('META', 0.01), ('MRK', 0.17), ('NVDA', 0.09), ('PG', 0.1), ('XOM', 0.01)], 'Bonds': [('^TNX', 0.04), ('^TYX', 0.19)], 'REITs': [('WELL', 0.03), ('O', 0.01), ('CCI', 0.01)]}"
0.38,0.68,"{'Stocks': [('COST', 0.11), ('JPM', 0.05), ('LLY', 0.19), ('META', 0.01), ('MRK', 0.17), ('NVDA', 0.1), ('PG', 0.08)], 'Bonds': [('^TNX', 0.05), ('^TYX', 0.2)], 'REITs': [('WELL', 0.02), ('O', 0.01), ('CCI', 0.01)]}"
0.36,0.47,"{'Stocks': [('ABBV', 0.02), ('COST', 0.1), ('JNJ', 0.01), ('JPM', 0.03), ('LLY', 0.12), ('META', 0.01), ('MRK', 0.15), ('NVDA', 0.06), ('PG', 0.15), ('XOM', 0.02)], 'Bonds': [('^TNX', 0.04), ('^TYX', 0.2)], 'REITs': [('WELL', 0.02), ('O', 0.06), ('CCI', 0.01)]}"
0.38,0.48,"{'Stocks': [('ABBV', 0.02), ('COST', 0.1), ('JPM', 0.04), ('LLY', 0.13), ('META', 0.01), ('MRK', 0.16), ('NVDA', 0.06), ('PG', 0.14), ('XOM', 0.02)], 'Bonds': [('^TNX', 0.04), ('^TYX', 0.18999999999999978)], 'REITs': [('WELL', 0.03), ('O', 0.05), ('CCI', 0.01)]}"
0.32,0.37,"{'Stocks': [('ABBV', 0.03), ('AMZN', 0.01), ('COST', 0.06), ('CVX', 0.02), ('HD', 0.03), ('JNJ', 0.11), ('LLY', 0.07), ('MRK', 0.1), ('NVDA', 0.03), ('PG', 0.16), ('V', 0.04), ('XOM', 0.01)], 'Bonds': [('^TNX', 0.04), ('^TYX', 0.16999999999999998)], 'REITs': [('WELL', 0.01), ('O', 0.1), ('CCI', 0.01)]}"
0.36,0.38,"{'Stocks': [('ABBV', 0.02), ('COST', 0.07), ('HD', 0.02), ('JNJ', 0.07), ('JPM', 0.01), ('LLY', 0.09), ('MRK', 0.12), ('NVDA', 0.04), ('PG', 0.15), ('V', 0.02), ('XOM', 0.02)], 'Bonds': [('^TNX', 0.04), ('^TYX', 0.22000000000000003)], 'REITs': [('WELL', 0.01), ('O', 0.09), ('CCI', 0.01)]}"
